county,office,district,party,candidate,votes,,,,,,,,,
Queens,State Assembly,25,,Void,0,,,,,,,,,
Queens,State Assembly,25,,Scattering,42,,,,,,,,,
Queens,State Assembly,25,,Total,34320,,,,,,,,,
Queens,State Assembly,26,DEM,Edward C. Braunstein,28733,,,,,,,,,
Queens,State Assembly,26,WOR,Edward C. Braunstein,1507,,,,,,,,,
Queens,State Assembly,26,IND,Edward C. Braunstein,1866,,,,,,,,,
Queens,State Assembly,26,WEP,Edward C. Braunstein,1149,,,,,,,,,
Queens,State Assembly,26,,Blank,13707,,,,,,,,,
Queens,State Assembly,26,,Void,0,,,,,,,,,
Queens,State Assembly,26,,Scattering,209,,,,,,,,,
Queens,State Assembly,26,,Total,47171,,,,,,,,,
Queens,State Assembly,27,DEM,Michael A. Simanowitz,23167,,,,,,,,,
Queens,State Assembly,27,REP,Michael A. Simanowitz,8003,,,,,,,,,
Queens,State Assembly,27,CON,Michael A. Simanowitz,1024,,,,,,,,,
Queens,State Assembly,27,,Blank,5213,,,,,,,,,
Queens,State Assembly,27,,Void,0,,,,,,,,,
Queens,State Assembly,27,,Scattering,94,,,,,,,,,
Queens,State Assembly,27,,Total,37501,,,,,,,,,
Queens,State Assembly,28,DEM,Andrew D. Hevesi,29515,,,,,,,,,
Queens,State Assembly,28,WOR,Andrew D. Hevesi,3395,,,,,,,,,
Queens,State Assembly,28,,Blank,11830,,,,,,,,,
Queens,State Assembly,28,,Void,0,,,,,,,,,
Queens,State Assembly,28,,Scattering,261,,,,,,,,,
Queens,State Assembly,28,,Total,45001,,,,,,,,,
Queens,State Assembly,29,DEM,Alicia L. Hyndman,40594,,,,,,,,,
Queens,State Assembly,29,WOR,Alicia L. Hyndman,992,,,,,,,,,
Queens,State Assembly,29,,Blank,3516,,,,,,,,,
Queens,State Assembly,29,,Void,0,,,,,,,,,
Queens,State Assembly,29,,Scattering,45,,,,,,,,,
Queens,State Assembly,29,,Total,45147,,,,,,,,,
Queens,State Assembly,30,DEM,Brian Barnwell,24452,,,,,,,,,
Queens,State Assembly,30,REP,Anthony P. Nunziato,9757,,,,,,,,,
Queens,State Assembly,30,CON,Anthony P. Nunziato,1198,,,,,,,,,
Queens,State Assembly,30,REF,Anthony P. Nunziato,587,,,,,,,,,
Queens,State Assembly,30,,Blank,3452,,,,,,,,,
Queens,State Assembly,30,,Void,0,,,,,,,,,
Queens,State Assembly,30,,Scattering,68,,,,,,,,,
Queens,State Assembly,30,,Total,39514,,,,,,,,,
Queens,State Assembly,31,DEM,Michele R. Titus,31019,,,,,,,,,
Queens,State Assembly,31,WOR,Michele R. Titus,1113,,,,,,,,,
Queens,State Assembly,31,,Blank,4111,,,,,,,,,
Queens,State Assembly,31,,Void,0,,,,,,,,,
Queens,State Assembly,31,,Scattering,69,,,,,,,,,
Queens,State Assembly,31,,Total,36312,,,,,,,,,
Queens,State Assembly,32,DEM,Vivian E. Cook,39305,,,,,,,,,
Queens,State Assembly,32,,Blank,3632,,,,,,,,,
Queens,State Assembly,32,,Void,0,,,,,,,,,
Queens,State Assembly,32,,Scattering,87,,,,,,,,,
Queens,State Assembly,32,,Total,43024,,,,,,,,,
Queens,State Assembly,33,DEM,Clyde Vanel,40212,,,,,,,,,
Queens,State Assembly,33,REP,Goldy-Francois Wellington,3854,,,,,,,,,
Queens,State Assembly,33,CON,Goldy-Francois Wellington,596,,,,,,,,,
Queens,State Assembly,33,NIP,Leroy Gadsden,914,,,,,,,,,
Queens,State Assembly,33,,Blank,2877,,,,,,,,,
Queens,State Assembly,33,,Void,0,,,,,,,,,
Queens,State Assembly,33,,Scattering,31,,,,,,,,,
Queens,State Assembly,33,,Total,48484,,,,,,,,,
Queens,State Assembly,34,DEM,Michael G. DenDekker,24161,,,,,,,,,
Queens,State Assembly,34,,Blank,7370,,,,,,,,,
Queens,State Assembly,34,,Void,0,,,,,,,,,
Queens,State Assembly,34,,Scattering,114,,,,,,,,,
Queens,State Assembly,34,,Total,31645,,,,,,,,,
Queens,State Assembly,35,DEM,Jeffrion L. Aubry,22310,,,,,,,,,
Queens,State Assembly,35,,Blank,5961,,,,,,,,,
Queens,State Assembly,35,,Void,0,,,,,,,,,
Queens,State Assembly,35,,Scattering,78,,,,,,,,,
Queens,State Assembly,35,,Total,28349,,,,,,,,,
Queens,State Assembly,36,DEM,Aravella Simotas,32574,,,,,,,,,
Queens,State Assembly,36,WOR,Aravella Simotas,3638,,,,,,,,,
Queens,State Assembly,36,,Blank,8010,,,,,,,,,
Queens,State Assembly,36,,Void,0,,,,,,,,,
Queens,State Assembly,36,,Scattering,192,,,,,,,,,
Queens,State Assembly,36,,Total,44414,,,,,,,,,
Queens,State Assembly,37,DEM,Catherine T. Nolan,31423,,,,,,,,,
Queens,State Assembly,37,WOR,Catherine T. Nolan,3412,,,,,,,,,
Queens,State Assembly,37,,Blank,6299,,,,,,,,,
Queens,State Assembly,37,,Void,0,,,,,,,,,
Queens,State Assembly,37,,Scattering,162,,,,,,,,,
Queens,State Assembly,37,,Total,41296,,,,,,,,,
Queens,State Assembly,38,DEM,Michael G. Miller,22966,,,,,,,,,
Queens,State Assembly,38,REP,Joseph Maldonado,5299,,,,,,,,,
Queens,State Assembly,38,CON,Michael G. Miller,992,,,,,,,,,
Queens,State Assembly,38,REF,Joseph Maldonado,496,,,,,,,,,
Queens,State Assembly,38,,Blank,2799,,,,,,,,,
Queens,State Assembly,38,,Void,0,,,,,,,,,
Queens,State Assembly,38,,Scattering,39,,,,,,,,,
Queens,State Assembly,38,,Total,32591,,,,,,,,,
Queens,State Assembly,39,DEM,Francisco P. Moya,18631,,,,,,,,,
Queens,State Assembly,39,WOR,Francisco P. Moya,1452,,,,,,,,,
Queens,State Assembly,39,,Blank,4988,,,,,,,,,
Queens,State Assembly,39,,Void,0,,,,,,,,,
Queens,State Assembly,39,,Scattering,47,,,,,,,,,
Queens,State Assembly,39,,Total,25118,,,,,,,,,
Queens,State Assembly,40,DEM,Ron Kim,15697,,,,,,,,,
Queens,State Assembly,40,REP,Miriam M. Rodriquez,5168,,,,,,,,,
Queens,State Assembly,40,WOR,Ron Kim,782,,,,,,,,,
Queens,State Assembly,40,REF,Miriam M. Rodriquez,251,,,,,,,,,
Queens,State Assembly,40,,Blank,3453,,,,,,,,,
Queens,State Assembly,40,,Void,0,,,,,,,,,
Queens,State Assembly,40,,Scattering,17,,,,,,,,,
Queens,State Assembly,40,,Total,25368,,,,,,,,,
Kings,State Assembly,41,DEM,Helene E. Weinstein,26666,,,,,,,,,
Kings,State Assembly,41,REP,Ramona Johnson,6650,,,,,,,,,
Kings,State Assembly,41,CON,Ramona Johnson,1178,,,,,,,,,
Kings,State Assembly,41,WOR,Helene E. Weinstein,1650,,,,,,,,,
Kings,State Assembly,41,,Blank,3514,,,,,,,,,
Kings,State Assembly,41,,Void,0,,,,,,,,,
Kings,State Assembly,41,,Scattering,47,,,,,,,,,
Kings,State Assembly,41,,Total,39705,,,,,,,,,
Kings,State Assembly,42,DEM,Rodneyse Bichotte,34379,,,,,,,,,
Kings,State Assembly,42,REP,Matthew Williams,2857,,,,,,,,,
Kings,State Assembly,42,CON,Matthew Williams,705,,,,,,,,,
Kings,State Assembly,42,,Blank,2931,,,,,,,,,
Kings,State Assembly,42,,Void,0,,,,,,,,,
Kings,State Assembly,42,,Scattering,44,,,,,,,,,
Kings,State Assembly,42,,Total,40916,,,,,,,,,
Kings,State Assembly,43,DEM,Diana Richardson,36724,,,,,,,,,
Kings,State Assembly,43,WOR,Diana Richardson,2750,,,,,,,,,
Kings,State Assembly,43,,Blank,4467,,,,,,,,,
Kings,State Assembly,43,,Void,0,,,,,,,,,
Kings,State Assembly,43,,Scattering,198,,,,,,,,,
Kings,State Assembly,43,,Total,44139,,,,,,,,,
Kings,State Assembly,44,DEM,Robert C. Carroll,30082,,,,,,,,,
Kings,State Assembly,44,REP,Glenn Nocera,4736,,,,,,,,,
Kings,State Assembly,44,CON,Glenn Nocera,1185,,,,,,,,,
Kings,State Assembly,44,WOR,Robert C. Carroll,4697,,,,,,,,,
Kings,State Assembly,44,,Blank,3934,,,,,,,,,
Kings,State Assembly,44,,Void,0,,,,,,,,,
Kings,State Assembly,44,,Scattering,63,,,,,,,,,
Kings,State Assembly,44,,Total,44697,,,,,,,,,
Kings,State Assembly,45,DEM,Steven Cymbrowitz,15768,,,,,,,,,
Kings,State Assembly,45,CON,Boris Gintchanski,4692,,,,,,,,,
Kings,State Assembly,45,WOR,Steven Cymbrowitz,1208,,,,,,,,,
Kings,State Assembly,45,IND,Steven Cymbrowitz,919,,,,,,,,,
Kings,State Assembly,45,,Blank,7116,,,,,,,,,
Kings,State Assembly,45,,Void,0,,,,,,,,,
Kings,State Assembly,45,,Scattering,46,,,,,,,,,
Kings,State Assembly,45,,Total,29749,,,,,,,,,
Kings,State Assembly,46,DEM,Pamela Harris,20061,,,,,,,,,
Kings,State Assembly,46,REP,Lucretia Regina-Potter,11463,,,,,,,,,
Kings,State Assembly,46,CON,Mikhail Usher,1699,,,,,,,,,
Kings,State Assembly,46,GRN,Patrick Dwyer,1252,,,,,,,,,
Kings,State Assembly,46,REF,Lucretia Regina-Potter,344,,,,,,,,,
Kings,State Assembly,46,,Blank,4746,,,,,,,,,
Kings,State Assembly,46,,Void,0,,,,,,,,,
Kings,State Assembly,46,,Scattering,45,,,,,,,,,
Kings,State Assembly,46,,Total,39610,,,,,,,,,
Kings,State Assembly,47,DEM,William Colton,16989,,,,,,,,,
Kings,State Assembly,47,CON,Malka Shahar,2416,,,,,,,,,
Kings,State Assembly,47,WOR,William Colton,1883,,,,,,,,,
Kings,State Assembly,47,,Blank,5344,,,,,,,,,
Kings,State Assembly,47,,Void,0,,,,,,,,,
Kings,State Assembly,47,,Scattering,48,,,,,,,,,
Kings,State Assembly,47,,Total,26680,,,,,,,,,
Kings,State Assembly,48,DEM,Dov Hikind,10320,,,,,,,,,
Kings,State Assembly,48,REP,Dov Hikind,11076,,,,,,,,,
Kings,State Assembly,48,CON,Dov Hikind,1722,,,,,,,,,
Kings,State Assembly,48,,Blank,2870,,,,,,,,,
Kings,State Assembly,48,,Void,0,,,,,,,,,
Kings,State Assembly,48,,Scattering,176,,,,,,,,,
Kings,State Assembly,48,,Total,26164,,,,,,,,,
Kings,State Assembly,49,DEM,"Peter J. Abbate, Jr.",12486,,,,,,,,,
Kings,State Assembly,49,REP,Rosemary A. Mangino,3903,,,,,,,,,
Kings,State Assembly,49,CON,Rosemary A. Mangino,571,,,,,,,,,
Kings,State Assembly,49,WOR,"Peter J. Abbate, Jr.",891,,,,,,,,,
Kings,State Assembly,49,IND,"Peter J. Abbate, Jr.",447,,,,,,,,,
Kings,State Assembly,49,,Blank,2416,,,,,,,,,
Kings,State Assembly,49,,Void,0,,,,,,,,,
Kings,State Assembly,49,,Scattering,21,,,,,,,,,
Kings,State Assembly,49,,Total,20735,,,,,,,,,
Kings,State Assembly,50,DEM,Joseph R. Lentol,33290,,,,,,,,,
Kings,State Assembly,50,,Blank,5846,,,,,,,,,
Kings,State Assembly,50,,Void,0,,,,,,,,,
Kings,State Assembly,50,,Scattering,237,,,,,,,,,
Kings,State Assembly,50,,Total,39373,,,,,,,,,
Kings,State Assembly,51,DEM,Felix W. Ortiz,24181,,,,,,,,,
Kings,State Assembly,51,REP,Henry Lallave,2755,,,,,,,,,
Kings,State Assembly,51,CON,Henry Lallave,533,,,,,,,,,
Kings,State Assembly,51,,Blank,2810,,,,,,,,,
Kings,State Assembly,51,,Void,0,,,,,,,,,
Kings,State Assembly,51,,Scattering,49,,,,,,,,,
Kings,State Assembly,51,,Total,30328,,,,,,,,,
Kings,State Assembly,52,DEM,Jo Anne Simon,50716,,,,,,,,,
Kings,State Assembly,52,REP,Daniel Ramos,4409,,,,,,,,,
Kings,State Assembly,52,CON,Daniel Ramos,737,,,,,,,,,
Kings,State Assembly,52,WOR,Jo Anne Simon,5664,,,,,,,,,
Kings,State Assembly,52,WEP,Jo Anne Simon,1198,,,,,,,,,
Kings,State Assembly,52,,Blank,3441,,,,,,,,,
Kings,State Assembly,52,,Void,0,,,,,,,,,
Kings,State Assembly,52,,Scattering,61,,,,,,,,,
Kings,State Assembly,52,,Total,66226,,,,,,,,,
Kings,State Assembly,53,DEM,Maritza Davila,32792,,,,,,,,,
Kings,State Assembly,53,WOR,Maritza Davila,2602,,,,,,,,,
Kings,State Assembly,53,,Blank,5160,,,,,,,,,
Kings,State Assembly,53,,Void,0,,,,,,,,,
Kings,State Assembly,53,,Scattering,122,,,,,,,,,
Kings,State Assembly,53,,Total,40676,,,,,,,,,
Kings,State Assembly,54,DEM,Erik Martin Dilan,28424,,,,,,,,,
Kings,State Assembly,54,REP,Khorshed A. Chowdhury,1513,,,,,,,,,
Kings,State Assembly,54,IND,Erik Martin Dilan,728,,,,,,,,,
Kings,State Assembly,54,,Blank,2923,,,,,,,,,
Kings,State Assembly,54,,Void,0,,,,,,,,,
Kings,State Assembly,54,,Scattering,38,,,,,,,,,
Kings,State Assembly,54,,Total,33626,,,,,,,,,
Kings,State Assembly,55,DEM,Latrice M. Walker,34172,,,,,,,,,
Kings,State Assembly,55,REP,Berneda W. Jackson,869,,,,,,,,,
Kings,State Assembly,55,WOR,Latrice M. Walker,1180,,,,,,,,,
Kings,State Assembly,55,,Blank,1980,,,,,,,,,
Kings,State Assembly,55,,Void,0,,,,,,,,,
Kings,State Assembly,55,,Scattering,17,,,,,,,,,
Kings,State Assembly,55,,Total,38218,,,,,,,,,
Kings,State Assembly,56,DEM,Tremaine S. Wright,39040,,,,,,,,,
Kings,State Assembly,56,WOR,Tremaine S. Wright,2796,,,,,,,,,
Kings,State Assembly,56,,Blank,3284,,,,,,,,,
Kings,State Assembly,56,,Void,0,,,,,,,,,
Kings,State Assembly,56,,Scattering,80,,,,,,,,,
Kings,State Assembly,56,,Total,45200,,,,,,,,,
Kings,State Assembly,57,DEM,"Walter T. Mosley, III",49410,,,,,,,,,
Kings,State Assembly,57,WOR,"Walter T. Mosley, III",5648,,,,,,,,,
Kings,State Assembly,57,,Blank,4000,,,,,,,,,
Kings,State Assembly,57,,Void,0,,,,,,,,,
Kings,State Assembly,57,,Scattering,148,,,,,,,,,
Kings,State Assembly,57,,Total,59206,,,,,,,,,
Kings,State Assembly,58,DEM,N. Nick Perry,39795,,,,,,,,,
Kings,State Assembly,58,WOR,N. Nick Perry,696,,,,,,,,,
Kings,State Assembly,58,WEP,N. Nick Perry,221,,,,,,,,,
Kings,State Assembly,58,,Blank,2358,,,,,,,,,
Kings,State Assembly,58,,Void,0,,,,,,,,,
Kings,State Assembly,58,,Scattering,48,,,,,,,,,
Kings,State Assembly,58,,Total,43118,,,,,,,,,
Kings,State Assembly,59,DEM,Jaime R. Williams,32365,,,,,,,,,
Kings,State Assembly,59,REP,Jeffrey J. Ferretti,7922,,,,,,,,,
Kings,State Assembly,59,CON,Jeffrey J. Ferretti,1426,,,,,,,,,
Kings,State Assembly,59,WOR,Jaime R. Williams,964,,,,,,,,,
Kings,State Assembly,59,,Blank,3200,,,,,,,,,
Kings,State Assembly,59,,Void,0,,,,,,,,,
Kings,State Assembly,59,,Scattering,41,,,,,,,,,
Kings,State Assembly,59,,Total,45918,,,,,,,,,
Kings,State Assembly,60,DEM,Charles Barron,37051,,,,,,,,,
Kings,State Assembly,60,CON,Ernest Johnson,1343,,,,,,,,,
Kings,State Assembly,60,,Blank,3211,,,,,,,,,
Kings,State Assembly,60,,Void,0,,,,,,,,,
Kings,State Assembly,60,,Scattering,37,,,,,,,,,
Kings,State Assembly,60,,Total,41642,,,,,,,,,
Richmond,State Assembly,61,DEM,Matthew J. Titone,31750,,,,,,,,,
Richmond,State Assembly,61,,Blank,10794,,,,,,,,,
Richmond,State Assembly,61,,Void,0,,,,,,,,,
Richmond,State Assembly,61,,Scattering,245,,,,,,,,,
Richmond,State Assembly,61,,Total,42789,,,,,,,,,
Richmond,State Assembly,62,REP,"Ronald Castorina, Jr.",37683,,,,,,,,,
Richmond,State Assembly,62,CON,"Ronald Castorina, Jr.",3764,,,,,,,,,
Richmond,State Assembly,62,IND,"Ronald Castorina, Jr.",2593,,,,,,,,,
Richmond,State Assembly,62,REF,"Ronald Castorina, Jr.",411,,,,,,,,,
Richmond,State Assembly,62,,Blank,10499,,,,,,,,,
Richmond,State Assembly,62,,Void,0,,,,,,,,,
Richmond,State Assembly,62,,Scattering,315,,,,,,,,,
Richmond,State Assembly,62,,Total,55265,,,,,,,,,
Richmond,State Assembly,63,DEM,Michael J. Cusick,24104,,,,,,,,,
Richmond,State Assembly,63,CON,Michael J. Cusick,8221,,,,,,,,,
Richmond,State Assembly,63,IND,Michael J. Cusick,2234,,,,,,,,,
Richmond,State Assembly,63,,Blank,13136,,,,,,,,,
Richmond,State Assembly,63,,Void,0,,,,,,,,,
Richmond,State Assembly,63,,Scattering,142,,,,,,,,,
Richmond,State Assembly,63,,Total,47837,,,,,,,,,
Kings,State Assembly,64,REP,Nicole Malliotakis,4709,,,,,,,,,
Kings,State Assembly,64,CON,Nicole Malliotakis,734,,,,,,,,,
Kings,State Assembly,64,IND,Nicole Malliotakis,1216,,,,,,,,,
Kings,State Assembly,64,REF,Nicole Malliotakis,336,,,,,,,,,
Kings,State Assembly,64,,Blank,3267,,,,,,,,,
Kings,State Assembly,64,,Void,0,,,,,,,,,
Kings,State Assembly,64,,Scattering,227,,,,,,,,,
Kings,State Assembly,64,,Total,10489,,,,,,,,,
Richmond,State Assembly,64,REP,Nicole Malliotakis,22198,,,,,,,,,
Richmond,State Assembly,64,CON,Nicole Malliotakis,2478,,,,,,,,,
Richmond,State Assembly,64,IND,Nicole Malliotakis,2413,,,,,,,,,
Richmond,State Assembly,64,REF,Nicole Malliotakis,449,,,,,,,,,
Richmond,State Assembly,64,,Blank,7964,,,,,,,,,
Richmond,State Assembly,64,,Void,0,,,,,,,,,
Richmond,State Assembly,64,,Scattering,172,,,,,,,,,
Richmond,State Assembly,64,,Total,35674,,,,,,,,,
Total,State Assembly,64,REP,Nicole Malliotakis,26907,,,,,,,,,
Total,State Assembly,64,CON,Nicole Malliotakis,3212,,,,,,,,,
Total,State Assembly,64,IND,Nicole Malliotakis,3629,,,,,,,,,
Total,State Assembly,64,REF,Nicole Malliotakis,785,,,,,,,,,
Total,State Assembly,64,,Blank,11231,,,,,,,,,
Total,State Assembly,64,,Void,0,,,,,,,,,
Total,State Assembly,64,,Scattering,399,,,,,,,,,
Total,State Assembly,64,,Total,46163,,,,,,,,,
New York,State Assembly,65,DEM,Yuh-Line Niou,27987,,,,,,,,,
New York,State Assembly,65,REP,Bryan Jung,5624,,,,,,,,,
New York,State Assembly,65,GRN,Manny Cavaco,1348,,,,,,,,,
New York,State Assembly,65,WOR,Yuh-Line Niou,1729,,,,,,,,,
New York,State Assembly,65,WEP,Alice Cancel,2171,,,,,,,,,
New York,State Assembly,65,REF,Bryan Jung,137,,,,,,,,,
New York,State Assembly,65,,Blank,5387,,,,,,,,,
New York,State Assembly,65,,Void,0,,,,,,,,,
New York,State Assembly,65,,Scattering,64,,,,,,,,,
New York,State Assembly,65,,Total,44447,,,,,,,,,
New York,State Assembly,66,DEM,Deborah J. Glick,46649,,,,,,,,,
New York,State Assembly,66,WOR,Deborah J. Glick,3882,,,,,,,,,
New York,State Assembly,66,,Blank,8711,,,,,,,,,
New York,State Assembly,66,,Void,0,,,,,,,,,
New York,State Assembly,66,,Scattering,390,,,,,,,,,
New York,State Assembly,66,,Total,59632,,,,,,,,,
New York,State Assembly,67,DEM,Linda B. Rosenthal,50070,,,,,,,,,
New York,State Assembly,67,REP,Hyman Drusin,8321,,,,,,,,,
New York,State Assembly,67,WOR,Linda B. Rosenthal,2412,,,,,,,,,
New York,State Assembly,67,REF,Hyman Drusin,189,,,,,,,,,
New York,State Assembly,67,,Blank,4097,,,,,,,,,
New York,State Assembly,67,,Void,0,,,,,,,,,
New York,State Assembly,67,,Scattering,76,,,,,,,,,
New York,State Assembly,67,,Total,65165,,,,,,,,,
New York,State Assembly,68,DEM,Robert J. Rodriguez,38151,,,,,,,,,
New York,State Assembly,68,REP,Daby Carreras,3125,,,,,,,,,
New York,State Assembly,68,IND,Daby Carreras,342,,,,,,,,,
New York,State Assembly,68,WEP,Robert J. Rodriguez,608,,,,,,,,,
New York,State Assembly,68,REF,Daby Carreras,216,,,,,,,,,
New York,State Assembly,68,SDP,Daby Carreras,237,,,,,,,,,
New York,State Assembly,68,,Blank,4522,,,,,,,,,
New York,State Assembly,68,,Void,0,,,,,,,,,
New York,State Assembly,68,,Scattering,31,,,,,,,,,
New York,State Assembly,68,,Total,47232,,,,,,,,,
New York,State Assembly,69,DEM,Daniel J. O'Donnell,49526,,,,,,,,,
New York,State Assembly,69,REP,Stephen Garrin,5334,,,,,,,,,
New York,State Assembly,69,,Blank,5962,,,,,,,,,
New York,State Assembly,69,,Void,0,,,,,,,,,
New York,State Assembly,69,,Scattering,76,,,,,,,,,
New York,State Assembly,69,,Total,60898,,,,,,,,,
New York,State Assembly,70,DEM,Inez E. Dickens,45048,,,,,,,,,
New York,State Assembly,70,REP,Heather Tarrant,2316,,,,,,,,,
New York,State Assembly,70,IND,Heather Tarrant,648,,,,,,,,,
New York,State Assembly,70,REF,Heather Tarrant,485,,,,,,,,,
New York,State Assembly,70,,Blank,5267,,,,,,,,,
New York,State Assembly,70,,Void,0,,,,,,,,,
New York,State Assembly,70,,Scattering,99,,,,,,,,,
New York,State Assembly,70,,Total,53863,,,,,,,,,
New York,State Assembly,71,DEM,"Herman D. Farrell, Jr.",43183,,,,,,,,,
New York,State Assembly,71,REP,Vanessa Stanback,2758,,,,,,,,,
New York,State Assembly,71,REF,Vanessa Stanback,758,,,,,,,,,
New York,State Assembly,71,,Blank,6021,,,,,,,,,
New York,State Assembly,71,,Void,0,,,,,,,,,
New York,State Assembly,71,,Scattering,70,,,,,,,,,
New York,State Assembly,71,,Total,52790,,,,,,,,,
New York,State Assembly,72,DEM,Carmen N. De La Rosa,37032,,,,,,,,,
New York,State Assembly,72,,Blank,9405,,,,,,,,,
New York,State Assembly,72,,Void,0,,,,,,,,,
New York,State Assembly,72,,Scattering,185,,,,,,,,,
New York,State Assembly,72,,Total,46622,,,,,,,,,
New York,State Assembly,73,DEM,Dan Quart,34695,,,,,,,,,
New York,State Assembly,73,REP,Rebecca Harary,18474,,,,,,,,,
New York,State Assembly,73,GRN,Donal Butterfield,584,,,,,,,,,
New York,State Assembly,73,WOR,Dan Quart,840,,,,,,,,,
New York,State Assembly,73,IND,Rebecca Harary,775,,,,,,,,,
New York,State Assembly,73,WEP,Rebecca Harary,267,,,,,,,,,
New York,State Assembly,73,REF,Rebecca Harary,82,,,,,,,,,
New York,State Assembly,73,LBT,Rebecca Harary,325,,,,,,,,,
New York,State Assembly,73,SDP,Rebecca Harary,615,,,,,,,,,
New York,State Assembly,73,,Blank,3715,,,,,,,,,
New York,State Assembly,73,,Void,0,,,,,,,,,
New York,State Assembly,73,,Scattering,40,,,,,,,,,
New York,State Assembly,73,,Total,60412,,,,,,,,,
New York,State Assembly,74,DEM,Brian P. Kavanagh,37627,,,,,,,,,
New York,State Assembly,74,REP,Frank Scala,7164,,,,,,,,,
New York,State Assembly,74,GRN,Scott Hutchins,1569,,,,,,,,,
New York,State Assembly,74,WOR,Brian P. Kavanagh,2251,,,,,,,,,
New York,State Assembly,74,REF,Frank Scala,199,,,,,,,,,
New York,State Assembly,74,,Blank,5069,,,,,,,,,
New York,State Assembly,74,,Void,0,,,,,,,,,
New York,State Assembly,74,,Scattering,38,,,,,,,,,
New York,State Assembly,74,,Total,53917,,,,,,,,,
New York,State Assembly,75,DEM,Richard N. Gottfried,43648,,,,,,,,,
New York,State Assembly,75,REP,Joseph A. Maffia,8249,,,,,,,,,
New York,State Assembly,75,WOR,Richard N. Gottfried,2538,,,,,,,,,
New York,State Assembly,75,REF,Joseph A. Maffia,213,,,,,,,,,
New York,State Assembly,75,,Blank,4642,,,,,,,,,
New York,State Assembly,75,,Void,0,,,,,,,,,
New York,State Assembly,75,,Scattering,66,,,,,,,,,
New York,State Assembly,75,,Total,59356,,,,,,,,,
New York,State Assembly,76,DEM,Rebecca A. Seawright,38916,,,,,,,,,
New York,State Assembly,76,REP,Jonathan Kostakopoulos,13570,,,,,,,,,
New York,State Assembly,76,WOR,Rebecca A. Seawright,1393,,,,,,,,,
New York,State Assembly,76,IND,Jonathan Kostakopoulos,634,,,,,,,,,
New York,State Assembly,76,SDP,Jonathan Kostakopoulos,647,,,,,,,,,
New York,State Assembly,76,,Blank,3229,,,,,,,,,
New York,State Assembly,76,,Void,0,,,,,,,,,
New York,State Assembly,76,,Scattering,46,,,,,,,,,
New York,State Assembly,76,,Total,58435,,,,,,,,,
Bronx,State Assembly,77,DEM,Latoya Joyner,27327,,,,,,,,,
Bronx,State Assembly,77,CON,Benjamin Eggleston,371,,,,,,,,,
Bronx,State Assembly,77,WOR,Latoya Joyner,659,,,,,,,,,
Bronx,State Assembly,77,,Blank,5856,,,,,,,,,
Bronx,State Assembly,77,,Void,0,,,,,,,,,
Bronx,State Assembly,77,,Scattering,17,,,,,,,,,
Bronx,State Assembly,77,,Total,34230,,,,,,,,,
Bronx,State Assembly,78,DEM,Jose Rivera,21228,,,,,,,,,
Bronx,State Assembly,78,REP,Luana G. Malavolta,1172,,,,,,,,,
Bronx,State Assembly,78,CON,William J. Sullivan,366,,,,,,,,,
Bronx,State Assembly,78,WOR,Jose Rivera,687,,,,,,,,,
Bronx,State Assembly,78,,Blank,5027,,,,,,,,,
Bronx,State Assembly,78,,Void,0,,,,,,,,,
Bronx,State Assembly,78,,Scattering,26,,,,,,,,,
Bronx,State Assembly,78,,Total,28506,,,,,,,,,
Bronx,State Assembly,79,DEM,Michael A. Blake,29376,,,,,,,,,
Bronx,State Assembly,79,CON,Selsia Evans,512,,,,,,,,,
Bronx,State Assembly,79,WOR,Michael A. Blake,662,,,,,,,,,
Bronx,State Assembly,79,,Blank,6967,,,,,,,,,
Bronx,State Assembly,79,,Void,0,,,,,,,,,
Bronx,State Assembly,79,,Scattering,14,,,,,,,,,
Bronx,State Assembly,79,,Total,37531,,,,,,,,,
Bronx,State Assembly,80,DEM,Mark Gjonaj,24959,,,,,,,,,
Bronx,State Assembly,80,REP,Nicholas Marricco,3391,,,,,,,,,
Bronx,State Assembly,80,CON,Robert Goodman,953,,,,,,,,,
Bronx,State Assembly,80,,Blank,6063,,,,,,,,,
Bronx,State Assembly,80,,Void,0,,,,,,,,,
Bronx,State Assembly,80,,Scattering,37,,,,,,,,,
Bronx,State Assembly,80,,Total,35403,,,,,,,,,
Bronx,State Assembly,81,DEM,Jeffrey Dinowitz,31326,,,,,,,,,
Bronx,State Assembly,81,CON,Alan H. Reed,3010,,,,,,,,,
Bronx,State Assembly,81,WOR,Jeffrey Dinowitz,1586,,,,,,,,,
Bronx,State Assembly,81,WEP,Jeffrey Dinowitz,519,,,,,,,,,
Bronx,State Assembly,81,,Blank,8590,,,,,,,,,
Bronx,State Assembly,81,,Void,0,,,,,,,,,
Bronx,State Assembly,81,,Scattering,84,,,,,,,,,
Bronx,State Assembly,81,,Total,45115,,,,,,,,,
Bronx,State Assembly,82,DEM,Michael R. Benedetto,31091,,,,,,,,,
Bronx,State Assembly,82,REP,Noel Lopez,5737,,,,,,,,,
Bronx,State Assembly,82,CON,"William E. Britt, Jr.",1549,,,,,,,,,
Bronx,State Assembly,82,,Blank,7465,,,,,,,,,
Bronx,State Assembly,82,,Void,0,,,,,,,,,
Bronx,State Assembly,82,,Scattering,30,,,,,,,,,
Bronx,State Assembly,82,,Total,45872,,,,,,,,,
